period,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
115011071,3,6,7,8,11,15,16,23,38,44,50,54,57,58,69,75,76,78,79,80
115011072,4,6,7,8,10,11,22,26,29,31,32,38,40,42,43,45,53,58,73,79
115011073,2,5,6,10,11,20,22,24,31,32,40,44,49,51,57,63,64,67,70,80
115011074,1,2,3,4,13,19,21,27,31,34,46,47,48,52,59,60,63,66,71,76
115011075,4,7,8,9,10,16,17,19,21,32,39,40,41,42,51,57,59,69,72,80
115011076,7,10,12,14,19,27,29,30,32,35,37,40,42,43,44,48,49,55,57,62
115011077,7,8,10,15,16,23,27,28,35,37,39,44,47,52,58,62,67,68,70,77
115011078,6,8,9,10,11,14,22,23,25,26,30,35,43,45,52,60,62,63,67,80
115011079,3,4,5,6,8,29,30,32,35,41,44,51,59,62,64,67,68,75,76,77
115011080,2,12,17,22,25,30,33,37,44,49,52,55,57,58,60,62,64,68,76,79
115011081,1,4,10,15,18,23,29,35,36,40,41,45,46,47,52,62,65,69,71,80
115011082,3,5,13,18,19,22,28,36,38,39,40,43,44,49,53,55,61,64,79,80
115011083,2,4,7,10,11,14,15,21,28,35,36,46,51,52,66,67,69,71,78,80
115011084,5,6,8,9,12,14,30,32,34,44,45,48,55,56,60,63,71,72,76,79
115011085,1,2,5,6,10,20,28,29,32,41,42,43,48,57,63,65,67,71,76,80
115011086,5,8,11,24,29,35,40,41,42,44,49,51,52,53,56,58,60,65,72,74
115011087,6,7,9,11,13,29,30,32,34,35,37,43,49,54,61,62,63,64,74,79
115011088,5,6,8,13,20,25,26,28,29,44,45,48,49,52,54,62,65,75,79,80
115011089,1,5,7,8,9,13,20,24,27,28,29,30,32,33,34,39,56,57,79,80
115011090,3,5,16,20,21,25,27,35,36,42,43,46,52,57,59,63,65,67,74,79
115011091,5,6,11,15,16,34,37,39,40,42,50,52,54,65,68,70,72,73,76,78
115011092,2,6,9,14,20,23,25,27,29,37,47,58,59,65,66,67,68,71,75,76
