已寫入 C:\src\anya_trade_app\bingo_ml_predictor\data\bingobingo_history.csv，共 572 期（最舊→最新）。

=== 期號與開獎號碼（最新在前）===

115011530 | 02, 04, 11, 17, 25, 32, 35, 38, 42, 43, 44, 47, 48, 50, 51, 68, 74, 75, 76, 80
115011529 | 03, 04, 06, 10, 16, 17, 25, 28, 29, 30, 33, 39, 47, 50, 53, 57, 59, 60, 74, 78
115011528 | 05, 14, 16, 21, 25, 32, 34, 39, 46, 52, 56, 57, 59, 61, 63, 64, 68, 71, 73, 75
115011527 | 05, 06, 09, 10, 11, 20, 21, 23, 27, 28, 34, 35, 37, 42, 43, 44, 46, 51, 56, 76
115011526 | 01, 02, 03, 05, 06, 07, 08, 10, 11, 24, 25, 32, 35, 36, 44, 47, 48, 64, 70, 75
115011525 | 01, 02, 03, 04, 07, 08, 09, 11, 15, 22, 24, 32, 37, 45, 46, 52, 62, 66, 69, 71
115011524 | 01, 05, 11, 18, 20, 22, 25, 31, 35, 36, 41, 43, 50, 53, 55, 58, 65, 70, 71, 72
115011523 | 08, 10, 14, 15, 16, 18, 27, 35, 39, 41, 43, 50, 53, 55, 60, 62, 64, 72, 75, 77
115011522 | 04, 05, 10, 11, 20, 22, 25, 30, 32, 36, 39, 46, 48, 54, 55, 57, 58, 60, 64, 75
115011521 | 03, 04, 10, 12, 13, 14, 18, 19, 20, 26, 28, 37, 41, 46, 51, 56, 60, 62, 69, 77
115011520 | 02, 04, 05, 06, 07, 08, 16, 19, 24, 35, 37, 38, 40, 43, 46, 50, 56, 66, 67, 68
115011519 | 08, 10, 14, 22, 25, 26, 35, 37, 40, 45, 46, 50, 52, 53, 55, 56, 59, 67, 71, 79
115011518 | 04, 08, 09, 10, 17, 19, 20, 22, 24, 27, 28, 30, 34, 40, 41, 43, 60, 61, 69, 70
115011517 | 02, 03, 05, 06, 07, 11, 14, 17, 20, 24, 28, 31, 32, 36, 57, 63, 69, 71, 74, 78
115011516 | 02, 03, 04, 06, 08, 10, 12, 27, 36, 39, 41, 47, 49, 51, 59, 60, 64, 73, 75, 79
115011515 | 02, 05, 12, 15, 16, 24, 25, 29, 31, 32, 40, 43, 45, 47, 50, 53, 57, 68, 70, 72
115011514 | 04, 05, 08, 09, 10, 14, 20, 22, 34, 38, 41, 48, 53, 55, 57, 60, 63, 70, 73, 78
115011513 | 02, 09, 13, 15, 26, 30, 31, 33, 34, 35, 36, 43, 46, 52, 54, 61, 62, 64, 74, 80
115011512 | 03, 04, 07, 08, 09, 10, 14, 16, 22, 27, 39, 43, 44, 46, 49, 51, 53, 66, 75, 76
115011511 | 06, 08, 10, 12, 14, 18, 24, 25, 26, 39, 44, 45, 52, 54, 56, 57, 58, 59, 64, 65
115011510 | 02, 03, 09, 11, 22, 24, 27, 31, 34, 35, 41, 47, 49, 55, 56, 65, 67, 69, 75, 78
115011509 | 01, 03, 04, 08, 10, 12, 21, 28, 39, 40, 51, 56, 58, 61, 65, 66, 67, 68, 69, 74
115011508 | 02, 05, 13, 16, 18, 25, 32, 33, 34, 35, 41, 42, 45, 67, 68, 70, 73, 74, 76, 77
115011507 | 03, 09, 10, 12, 16, 22, 26, 31, 32, 34, 42, 44, 53, 58, 66, 67, 70, 73, 74, 77
115011506 | 02, 04, 05, 06, 07, 08, 09, 13, 16, 18, 20, 33, 34, 38, 45, 52, 53, 55, 69, 71
115011505 | 06, 08, 10, 11, 12, 15, 17, 20, 21, 27, 37, 44, 46, 50, 55, 69, 71, 76, 77, 80
115011504 | 02, 06, 18, 19, 25, 29, 31, 32, 34, 38, 43, 45, 46, 49, 51, 53, 56, 60, 62, 70
115011503 | 01, 03, 04, 07, 08, 10, 13, 15, 16, 24, 28, 30, 36, 41, 46, 50, 58, 61, 72, 75
115011502 | 01, 02, 05, 06, 10, 17, 23, 30, 36, 39, 40, 47, 49, 57, 59, 64, 66, 67, 69, 80
115011501 | 03, 06, 09, 12, 15, 17, 22, 23, 24, 33, 39, 43, 51, 52, 56, 59, 63, 66, 72, 75
115011500 | 02, 04, 07, 09, 13, 28, 32, 40, 44, 48, 52, 53, 55, 61, 65, 66, 71, 73, 78, 80
115011499 | 01, 04, 05, 19, 27, 29, 31, 33, 34, 37, 43, 44, 46, 47, 50, 51, 55, 65, 67, 77
115011498 | 04, 06, 07, 14, 15, 19, 21, 23, 27, 30, 40, 43, 49, 50, 63, 66, 67, 70, 72, 73
115011497 | 02, 05, 12, 14, 16, 19, 28, 31, 32, 33, 42, 43, 52, 54, 56, 57, 70, 72, 75, 76
115011496 | 04, 05, 07, 09, 11, 19, 22, 25, 26, 29, 36, 48, 51, 52, 56, 66, 68, 69, 77, 80
115011495 | 01, 02, 04, 06, 07, 09, 13, 18, 21, 32, 36, 42, 48, 51, 53, 54, 55, 70, 74, 78
115011494 | 04, 06, 09, 13, 16, 19, 20, 23, 26, 27, 34, 35, 36, 41, 49, 56, 58, 59, 64, 69
115011493 | 01, 03, 10, 11, 12, 14, 20, 27, 31, 32, 35, 37, 39, 40, 44, 59, 60, 71, 72, 74
115011492 | 04, 05, 08, 15, 20, 26, 28, 33, 36, 38, 39, 41, 42, 44, 45, 47, 48, 55, 64, 75
115011491 | 06, 18, 26, 28, 30, 32, 34, 37, 38, 43, 44, 45, 46, 49, 51, 56, 64, 70, 75, 76
115011490 | 07, 08, 10, 20, 21, 26, 31, 33, 34, 35, 36, 43, 53, 56, 62, 66, 70, 73, 77, 80
115011489 | 01, 03, 04, 07, 09, 12, 13, 14, 17, 23, 32, 36, 38, 39, 46, 50, 52, 61, 65, 72
115011488 | 04, 09, 10, 11, 13, 15, 24, 26, 34, 36, 37, 41, 42, 44, 45, 51, 56, 63, 64, 77
115011487 | 01, 04, 08, 12, 14, 15, 17, 18, 25, 29, 37, 43, 45, 48, 53, 55, 60, 64, 69, 71
115011486 | 01, 04, 05, 10, 16, 18, 19, 21, 23, 29, 33, 35, 44, 47, 51, 53, 54, 58, 64, 77
115011485 | 02, 05, 06, 12, 16, 25, 26, 31, 33, 41, 42, 43, 44, 47, 56, 57, 60, 72, 74, 75
115011484 | 01, 02, 05, 07, 23, 24, 29, 33, 40, 42, 45, 46, 55, 58, 66, 68, 69, 75, 76, 77
115011483 | 03, 04, 06, 11, 20, 22, 25, 26, 27, 31, 37, 41, 42, 43, 54, 64, 67, 68, 77, 78
115011482 | 04, 05, 16, 20, 23, 31, 34, 36, 38, 39, 46, 47, 48, 58, 59, 66, 67, 76, 78, 80
115011481 | 01, 03, 06, 11, 12, 13, 14, 19, 22, 29, 34, 37, 41, 42, 45, 49, 68, 69, 73, 77
115011480 | 05, 09, 13, 14, 16, 18, 23, 24, 31, 32, 39, 42, 52, 56, 57, 63, 65, 71, 72, 79
115011479 | 01, 04, 08, 10, 22, 24, 25, 29, 30, 32, 35, 40, 44, 48, 58, 60, 63, 71, 73, 76
115011478 | 01, 04, 07, 08, 09, 16, 18, 29, 33, 37, 46, 48, 50, 53, 56, 57, 64, 68, 69, 70
115011477 | 03, 05, 06, 10, 11, 15, 16, 21, 23, 26, 33, 36, 40, 58, 62, 66, 68, 69, 70, 76
115011476 | 07, 13, 26, 34, 35, 36, 37, 40, 42, 49, 50, 56, 57, 58, 59, 62, 66, 69, 71, 73
115011475 | 02, 04, 08, 12, 16, 17, 18, 21, 33, 37, 38, 41, 42, 52, 53, 54, 56, 58, 65, 74
115011474 | 01, 02, 06, 11, 16, 24, 29, 46, 48, 49, 53, 54, 56, 57, 59, 60, 64, 65, 67, 79
